Kraj;Rok;Udzial_kobiet_na_stanowiskach_kierowniczych_proc;Wskaznik_aktywnosci_zawodowej_kobiet_proc;Wskaznik_zatrudnienia_kobiet_proc;PKB_na_mieszkanca;Zatrudnienie_w_rolnictwie_proc;Zatrudnienie_w_przemysle_proc;Zatrudnienie_w_uslugach_proc;Mediana_wieku_sily_roboczej_u_kobiet;Kobiety_15_24;Kobiety_25_34;Kobiety_35_44;Kobiety_45_54;Kobiety_55_64
Austria;2000;30,08;48,94;46,69;38844,4;6,38;14,16;79,46;37,08;235,78;508,85;504,62;349,19;88,04
Austria;2001;30,05;48,78;46,76;39186,34;6,28;13,8;79,92;37,47;228,91;492,23;520,09;363,19;85,45
Austria;2002;29,25;50,15;47,88;39638,03;6,08;12,96;80,96;37,87;233,86;472,23;538,4;388,01;91,15
Austria;2003;27,38;50,19;48,01;39816,77;5,78;13,07;81,15;38,31;233,71;462,76;553,98;398,99;98,3
Austria;2004;26,3;49,36;46,45;40652,81;4,86;13,29;81,85;38,3;247,86;447,42;552,12;396,38;89,94
Austria;2005;26,82;50,67;47,7;41282,88;5,28;12,9;81,82;38,7;266,8;430,51;564,65;423,8;109
Austria;2006;27,92;51,24;48,37;42498,01;5,28;13,41;81,3;39,18;267,75;423,33;571,38;445,43;120,29
Austria;2007;26,16;52,12;49,35;43939,43;5,62;12,98;81,41;39,5;277,51;419,87;572,84;462,73;130,1
Austria;2008;28,12;52,68;50,35;44441,79;5,23;12,26;82,51;39,81;278,57;427,33;562,84;479,15;143,27
Austria;2009;27,35;53,37;50,66;42656,85;5,2;11,42;83,38;40,1;279,03;435,81;557,9;499,78;148,57
Austria;2010;28,92;53,51;51,03;43336,2;4,99;11,47;83,54;40,55;267,18;435,34;543,38;521,8;163,38
Austria;2011;27,5;53,84;51,37;44452,73;4,66;12,45;82,9;40,64;270,31;439,01;537,94;539,02;166,63
Austria;2012;30,08;54,34;51,74;44551,62;4,24;12,65;83,11;40,7;272,58;454,87;523,93;552,31;176,92
Austria;2013;29,35;54,6;51,71;44301,1;4,18;13;82,81;40,91;271,39;460,21;513,21;570,28;188,9
Austria;2014;30,31;54,56;51,63;44246,89;4,57;12,69;82,74;40,99;270,44;470,02;499;580,56;198,1
Austria;2015;29,68;54,54;51,64;44197,54;4,21;12,14;83,65;41,2;262,53;475,88;493,84;582,02;218,13
Austria;2016;31,79;54,95;51,9;44632,73;3,93;11,98;84,09;41,24;263,45;492,81;490,35;586,32;238,95
Austria;2017;31,8;54,87;52,11;45421,43;3,68;11,41;84,91;41,41;254,54;490,57;491,6;589,17;257,09
Austria;2018;31,59;54,83;52,24;46260,38;3,63;11,19;85,18;41,59;250,48;482,96;494,45;585,41;278,59
Belgia;2000;32,07;43,57;39,96;36580,11;1,19;11,66;87,15;37,55;199,87;601,89;601,18;400,88;84,07
Belgia;2001;32,88;41,72;38,83;36855,37;0,95;11,8;87,25;38;183,34;560,67;579,87;412,05;84,19
Belgia;2002;31,8;42,36;39,05;37316,8;1,09;12,47;86,44;38,37;185,46;556,33;595,05;428,02;95,21
Belgia;2003;29,9;42,68;39,26;37546,61;1,06;11,59;87,35;38,71;177,29;553,04;608,13;443,65;100,63
Belgia;2004;29,88;43,96;40,32;38719,54;1,57;10,85;87,58;38,74;198,81;563,52;607,73;460,79;124,26
Belgia;2005;31,81;45,49;41,16;39401,18;1,48;11,32;87,2;39,17;201,71;566,93;626,79;498,97;137,61
Belgia;2006;31,47;45,62;41,37;40141,21;1,28;10,74;87,99;39,28;200,74;571,81;627,01;504,37;149,94
Belgia;2007;33,84;46,41;42,49;41312,68;1,3;11,01;87,69;39,77;200,2;566,04;631,42;534,94;173,04
Belgia;2008;32,68;46,73;43,18;41170,78;1,03;10,28;88,69;39,85;197,25;578,9;634;547,71;180,21
Belgia;2009;33,99;46,75;42,96;40015,57;0,99;9,71;89,3;40,07;193,3;580,73;625,16;566,97;193,27
Belgia;2010;34,1;47,49;43,44;40787,37;0,89;10,07;89,04;40,27;193,24;585,9;633,55;585,65;208,46
Belgia;2011;29,9;46,81;43,44;40942,37;0,89;9,67;89,44;40,59;194,54;573,88;610,63;588,66;226,39
Belgia;2012;32,44;46,89;43,42;40990,04;0,69;8,63;90,68;40,76;182,75;584,92;605,03;596,08;241,48
Belgia;2013;31,42;47,59;43,71;40984,64;0,84;8,57;90,59;41;184,71;581,9;612,81;605,53;264,56
Belgia;2014;31,65;48,01;44,2;41447,19;0,84;8,32;90,85;41;182,82;594,69;611,04;611,68;276,29
Belgia;2015;32,56;48,02;44,29;42045,38;0,73;8,36;90,91;41,29;175,76;587,05;607,92;613,69;296,37
Belgia;2016;32,66;47,77;44,15;42465,19;0,75;8,17;91,07;41,37;168,23;589,44;604,28;606,22;312,44
Belgia;2017;33,55;47,89;44,51;43132,81;0,7;8,57;90,72;41,72;161,9;584,62;598,82;605,9;337,38
Belgia;2018;33,91;47,89;44,83;43582,13;0,69;8,45;90,86;41,82;175,77;589,37;605;611,2;353,79
Bulgaria;2000;29,82;44,26;37,26;8833,44;10,6;27,26;62,14;40,33;148,97;367,45;505,19;494,82;62,73
Bulgaria;2001;32,65;46,8;37,98;9350,78;7,12;28,84;64,04;40,03;177,85;402,03;462,96;472,73;93,6
Bulgaria;2002;33,54;46,39;38,34;10123,36;8,14;28,81;63,06;40,34;157,17;404,23;445,8;471,38;118,63
Bulgaria;2003;31,3;44,95;39,02;10730;8,33;27,98;63,68;40,69;136,21;376,75;443,11;459,91;121,39
Bulgaria;2004;34,41;45,79;40,47;11507,04;8,29;28,53;63,19;40,86;134,37;374,81;455,43;456,3;142,21
Bulgaria;2005;33,97;44,74;40,35;12419,92;6,83;28,84;64,33;41,02;126,92;355,76;457,25;445,04;144,89
Bulgaria;2006;31,61;46,89;42,53;13374,9;6,11;28,02;65,87;41,22;134,54;362,61;467,99;453,22;176,27
Bulgaria;2007;31,4;48,11;44,6;14463,17;5,65;28,49;65,87;41,52;129,68;351,39;489,43;463,74;193,32
Bulgaria;2008;32,28;48,84;46,03;15442,13;5,78;28,63;65,59;41,81;126,89;344,16;488,59;473,38;212,87
Bulgaria;2009;32,15;48,09;44,9;14984,59;5,34;26,82;67,84;42,18;117,15;321,27;496,38;455,95;222,7
Bulgaria;2010;33,34;47,7;43,12;15283,27;5,2;24,07;70,73;42,2;116,51;366,09;426,31;424,2;241,92
Bulgaria;2011;36,75;47,22;42,44;15676,13;4,81;23,91;71,28;42,41;104,03;354,8;427,93;414,47;241,5
Bulgaria;2012;36,39;47,83;42,64;15772,08;4,29;25,09;70,63;42,61;100,4;348,81;438,1;406,49;252,43
Bulgaria;2013;36,48;48,53;42,78;15938,93;4,44;23,83;71,73;42,92;93,12;344,83;444,5;405,79;268,23
Bulgaria;2014;36,68;48,63;43,57;16324,34;4,56;23,21;72,23;43,23;81,13;338,82;443,08;405,95;276,65
Bulgaria;2015;36,51;48,63;44,54;16999,11;4,33;22,74;72,93;43,57;72,49;335,54;432,08;408,55;283,12
Bulgaria;2016;37,87;47,76;44,44;17792,68;4,25;22,37;73,38;43,92;64,15;317,89;421,83;403,8;282,1
Bulgaria;2017;39,19;49,63;46,68;18606,21;4,53;22,54;72,93;44,02;68,91;323,55;431,61;409,62;292,71
Bulgaria;2018;38,57;49,53;47,17;19320,75;4,47;22,35;73,17;44,45;59,2;312,09;423,87;412,5;295,2
Chorwacja;2000;24,66;48,27;46,06;27031,78;2,84;19,89;77,28;42,81;143,73;419,19;630,86;569,69;316,07
Chorwacja;2001;24,67;48,28;46,34;28464,56;2,79;19,65;77,56;43,2;136,08;413,95;625,9;587,03;319,91
Chorwacja;2002;27,1;41,11;38,73;17893,93;3,34;24,77;71,89;40,28;241,63;426,42;527,79;536,07;77,83
Chorwacja;2003;24,59;40,86;38,87;18665,72;3,42;25,5;71,07;40,31;204,78;462,07;521,16;552,74;89,5
Chorwacja;2004;22,61;41,13;39,04;19606,46;3,69;24,53;71,78;40,36;194,34;478,13;503,9;557,38;108,93
Chorwacja;2005;24,03;42,12;39,85;20465,83;2,66;23,38;73,96;40,64;176,62;489,32;500,74;580,18;138,53
Chorwacja;2006;25,64;41,99;39,53;21500,42;2,67;22,63;74,7;41;152,54;486,1;498,27;576,35;163,58
Chorwacja;2007;20,7;42,92;39,73;22457,44;2,64;21,17;76,19;40,89;149,72;508,66;497,06;583,97;180,59
Chorwacja;2008;25,44;43,2;39,78;23399,11;2,62;20,85;76,53;40,83;143,82;524,05;528,19;552,14;186,31
Chorwacja;2009;25,15;42,88;39,56;23492,14;2,28;21,08;76,65;40,96;133,58;508,3;540,76;540,57;185,82
Chorwacja;2010;25,78;42,68;39,26;23782,36;2,31;20,91;76,77;41,09;129,4;487,7;554,83;533,49;189,12
Chorwacja;2011;23,95;42,79;38,63;22223,45;2,59;19,35;78,06;41,26;127,72;470,3;568,65;525,08;204,64
Chorwacja;2012;26,05;43,78;39,11;22421,7;2,31;19,77;77,92;41,6;128,8;463,45;579,57;525,14;237,01
Chorwacja;2013;24,38;43,9;39,08;22894,35;2,64;19,83;77,52;41,89;124;449,9;583,54;514,04;266,23
Chorwacja;2014;23,18;44,8;40,05;22674,19;2,8;19,06;78,14;41,78;133,35;448,84;604,54;521,6;266,08
Chorwacja;2015;26,67;44,91;40,36;23183,03;2,61;19,05;78,34;41,77;132,44;442,22;611,56;523,97;266,53
Chorwacja;2016;29,93;46,28;42,62;24220,73;2,63;19,15;78,21;41,88;141,94;436,21;629,38;537,27;283,72
Chorwacja;2017;29,05;47,25;43,92;25212,05;2,64;18,94;78,42;42,21;147,37;427,63;632,77;551,39;298,01
Chorwacja;2018;29,98;47,96;45,51;25842,87;2,84;19,16;78;42,58;147,61;420,22;634,45;558,22;318,06
Dania;2000;24,19;60,05;57,06;42337,71;1,96;13,5;84,54;38,93;215,65;323,69;330,27;322,78;131,98
Dania;2001;20,97;59,81;56,94;42533,54;1,71;14,4;83,89;39,53;189,18;312,12;340,59;310;156,1
Dania;2002;21,37;60,28;57,68;42595,58;1,63;12,25;86,12;39,58;191,17;322,94;347,74;306,23;160,41
Dania;2003;25,77;59,61;56,18;42645,57;1,76;11,64;86,6;40,25;183,69;291,21;340,62;309,24;187,43
Dania;2004;23,76;60,38;57,09;43670,45;1,87;12,01;86,12;40,28;187,61;301,41;350,47;304,03;195,86
Dania;2005;24,19;60,5;57,31;44567,92;1,61;12,41;85,99;40,54;193,94;294,39;347,44;305,28;200,2
Dania;2006;24,5;61,16;58,38;46159,92;1,46;11,63;86,91;40,46;208,36;290,9;348,81;311,42;200,04
Dania;2007;28,3;60,84;58,28;46373,51;1,57;12,64;85,78;40,45;206,59;286,2;351,02;311,13;200,98
Dania;2008;23,92;61,06;58,77;45865,8;1,09;12,24;86,67;40,33;222,3;286,07;349,39;322,95;193,69
Dania;2009;24,85;60,61;57,39;43382,62;1,12;10,05;88,83;40,48;225,9;283,5;347,76;324,42;195,29
Dania;2010;22,69;59,8;55,94;43998,43;0,85;9,22;89,93;40,86;222,64;271,47;340,62;327,96;202,46
Dania;2011;27,83;59,63;55,18;44403,38;0,88;9,35;89,77;41;226,08;263,29;338,94;331,31;205,94
Dania;2012;28,45;59,11;54,65;44336,82;1,09;9,48;89,44;41,32;219,47;262,24;332,39;337,13;206,45
Dania;2013;27,17;58,59;54,33;44564,45;0,99;9,18;89,83;41,53;217,06;260,84;327,04;342,83;209,29
Dania;2014;26,3;58,01;54,05;45057,08;0,89;9,29;89,82;41,65;217,23;259,01;321,61;341,45;210,16
Dania;2015;26,87;57,71;53,99;45787,98;1,06;9,66;89,28;41,66;221,32;262,35;319,07;338,05;218,3
Dania;2016;27,95;59,31;55,37;46906,75;1,04;9,3;89,66;41,82;239,78;270,75;313,18;345,08;233,28
Dania;2017;26,95;58,1;54,65;47554,92;1,01;8,96;90,03;42,05;228,98;272,64;303,53;342,07;240,09
Dania;2018;26,68;58,05;55,06;48419,44;0,99;8,82;90,19;42,02;226,7;286,95;298,61;342,61;246,82
Estonia;2000;40,38;56,19;49,45;34860,26;3,9;14,23;81,87;41,35;199,92;254,15;330,78;361,02;125,23
Estonia;2001;36,9;56,53;50,45;35688,68;3,78;13,75;82,47;41,63;197,04;252,45;327,08;358,34;146,12
Estonia;2002;37,93;56,86;51,08;36210,04;3,73;13,63;82,64;41,62;194,91;258,74;324,66;352,03;157,83
Estonia;2003;31,23;56,53;50,91;36847,61;3,43;12,86;83,71;41,96;193,75;249,98;320,61;346,66;172,07
Estonia;2004;35,18;56,31;50,36;38207,6;3,01;12,35;84,65;42,27;188,01;245,68;314,47;345,2;184,59
Estonia;2005;37,22;56,62;51,74;39135,46;2,92;12,28;84,8;42,44;160,62;246,54;310,53;342,44;198,71
Estonia;2006;33,01;57,09;52,47;40555,67;2,8;11,85;85,35;42,7;163,61;247,42;307,67;340,4;211,25
Estonia;2007;33,52;57,47;53,34;42523,43;2,58;11,45;85,96;42,63;172,59;252,99;303,19;338;217,43
Estonia;2008;35,94;57,44;53,6;42657,76;2,69;10,39;86,92;42,71;172,22;258,82;296,54;338,95;226,31
Estonia;2009;35,32;57,02;52,7;39026,22;2,85;9,96;87,19;42,91;164,36;263,12;290,67;336,58;234,24
Estonia;2010;36,08;56,03;51,74;40085,76;2,77;9,9;87,32;43,17;158,64;257,09;284,02;332,66;241,75
Estonia;2011;35,36;55,81;51,85;40916,84;2,4;9,29;88,3;43,14;162,63;256,4;280,96;330,95;239,64
Estonia;2012;31,79;55,95;52;40153,58;2,32;9,05;88,63;43,21;167,69;255,12;278,2;330,39;246,73
Estonia;2013;33,39;55,5;51,33;39608,48;2,26;9,07;88,68;43,21;169,33;254,1;270,69;329,58;248,69
Estonia;2014;32,6;55,51;51,09;39301,06;2,32;8,62;89,06;43,22;166,88;256,16;272,35;328,7;249,49
Estonia;2015;30,72;55,52;50,61;39391,42;2,2;8,73;89,07;43,22;167,42;257,63;274,25;324,36;253,13
Estonia;2016;36,24;54,96;50,24;40310,59;2,09;8,81;89,1;43,08;164,49;256,7;275,77;314,21;253,51
Estonia;2017;38,51;55,16;50,53;41443,21;2,15;8,55;89,29;42,94;165,42;260,96;279,8;312,64;254,26
Estonia;2018;36,07;55,01;50,81;42060,8;2,11;8,4;89,49;42,93;164,7;264,71;291,31;307,53;262,1
Finlandia;2000;26,64;48,6;42,66;34705,14;2,84;13,96;83,2;39,06;1153,96;3302,35;3461,55;3107,06;782,81
Finlandia;2001;27,92;48,35;43,25;35136,94;2,82;13,85;83,33;39,32;1166,4;3238,31;3449,69;3196,46;795,19
Finlandia;2002;28,36;48,57;43,8;35278,44;2,78;13,25;83,98;39,61;1191,38;3146,73;3484,1;3231,46;903,58
Finlandia;2003;28,62;49,81;45,25;35317,62;2,68;12,3;85,02;39,87;1249,7;3247,46;3600,2;3312,52;1065,63
Finlandia;2004;28,17;49,69;44,78;36050,6;2,64;12,41;84,95;40,06;1245,82;3206,71;3606,92;3339,68;1125,4
Finlandia;2005;29,85;50,12;45,46;36374,97;2,28;11,97;85,75;40,29;1292,25;3182,75;3593,29;3414,37;1284,54
Finlandia;2006;29,59;50,16;45,58;37006,99;2,22;11,61;86,16;40,5;1290,51;3146,38;3638,72;3464,73;1350,26
Finlandia;2007;28,6;50,51;46,42;37670,53;2,14;11,43;86,43;40,59;1311,39;3174,62;3673;3484,33;1406,84
Finlandia;2008;29,52;50,69;46,91;37556,1;1,83;10,85;87,32;40,68;1294,15;3175,11;3723,01;3527,81;1443,27
Finlandia;2009;29,68;50,97;46,48;36289,8;1,88;10,2;87,92;40,85;1341,58;3139,3;3727,12;3573,65;1532,37
Finlandia;2010;30,45;50,92;46,3;36814,92;1,76;10,06;88,18;41,12;1296,87;3157,24;3681,63;3619,38;1614,69
Finlandia;2011;31,99;50,77;46,14;37440,64;1,87;10,44;87,69;41,43;1263,85;3149,57;3630,32;3621,85;1709,11
Finlandia;2012;29,74;50,93;46,17;37376,54;1,83;10,16;88;41,71;1235,72;3158,4;3609,02;3625,29;1838,26
Finlandia;2013;29,64;51,08;46,08;37398,93;1,84;10,03;88,13;41,83;1228,45;3216,47;3580,24;3649,14;1913,44
Finlandia;2014;33,68;50,83;45,74;37575,81;1,64;9,57;88,78;42,12;1234,48;3277,22;3664,25;3772,8;2069,15
Finlandia;2015;33,32;50,73;45,72;37835,81;1,64;9,3;89,07;42,27;1257,78;3234;3644,91;3754,61;2145,44
Finlandia;2016;34,14;50,68;45,69;38097,88;1,62;9,17;89,21;42,4;1263,61;3214,07;3613,29;3792,13;2195,15
Finlandia;2017;31,29;50,44;45,73;38955,83;1,58;9,79;88,63;42,54;1248,36;3205,85;3566,12;3792,22;2281,37
Finlandia;2018;31,83;50,34;45,69;39555,54;1,56;9,65;88,79;42,53;1284,53;3226,72;3572,01;3821,94;2329,26
Francja;2000;34,97;49,06;45,01;36698,84;2,11;18,28;79,61;39,21;2072,22;4157,47;5042,76;4042,38;1906,95
Francja;2001;35,51;49,36;45,52;37259,16;2,07;17,88;80,05;39,57;2079,9;3947,51;5194,99;4289,23;1859,75
Francja;2002;36,43;49,63;45,55;37122,75;1,96;17,62;80,42;39,94;2114,5;3854,2;5277,54;4373,75;1838,88
Francja;2003;35,41;49,99;45,35;36837,47;1,83;16,92;81,25;40,31;2109,14;3761,66;5339,79;4522,63;1910,83
Francja;2004;35,89;49,81;44,79;37283,89;1,7;17,01;81,29;40,83;2027,35;3569,66;5349,46;4654,75;1977,55
Francja;2005;37,59;50,7;45,18;37574,36;1,73;16,02;82,25;41,3;2213,86;3584,17;5521,32;4761,31;2129,67
Francja;2006;37,89;51,49;46,25;39051,69;1,61;16,01;82,38;41,49;2236,13;3679,43;5513,45;4850,79;2257,68
Francja;2007;37,84;52,01;47,44;40270,83;1,61;15,95;82,43;41,81;2271,78;3646,28;5429,57;4927,91;2403,68
Francja;2008;38,51;52,13;48,14;40735,73;1,32;15,01;83,67;42,18;2263,43;3647,45;5253,52;5060,87;2493,67
Francja;2009;38,09;52,53;48,69;38512,41;1,25;14,56;84,19;42,53;2230,79;3719,55;5042,75;5189,79;2614,75
Francja;2010;38,49;52,79;49,36;40183,35;1,2;14,27;84,54;42,94;2105,2;3672,7;4794,62;5255,55;2709,42
Francja;2011;39,33;53,66;50,66;42541,53;1,18;14,19;84,63;43,2;2133,66;3766,28;4609,34;5343,4;2915,93
Francja;2012;39,32;53,7;50,92;42639,89;1,1;14,16;84,74;43,59;2020,14;3809,83;4452,65;5428,99;3082,39
Francja;2013;36;54,31;51,64;42705,79;1,01;14,01;84,98;43,96;2016,35;3881,21;4309,17;5484,25;3312,4
Francja;2014;32,74;54,51;51,99;43474,68;1,01;14,17;84,82;44,35;1954,09;3957,91;4202,64;5525,57;3468,32
Francja;2015;31,66;54,61;52,3;43849,77;0,96;13,87;85,18;44,6;1902,02;3985,85;4155,36;5535,94;3612,09
Francja;2016;32,91;54,96;52,9;44467,22;0,89;13,81;85,3;44,87;1922,05;4054,98;4114,12;5646,21;3795,48
Francja;2017;33,37;55,21;53,38;45393,39;0,88;13,87;85,25;44,96;1948,74;4036,18;4099,15;5559,71;3945,92
Francja;2018;34,47;55,25;53,53;45936,18;0,87;13,63;85,5;44,93;1927,1;4009,21;4130,23;5401,7;4141,02
Grecja;2000;25,13;40,85;33,83;24839,08;19,65;12,12;68,22;36,56;255,53;566,82;489,07;332,92;160,36
Grecja;2001;24,57;39,89;33,5;25731,21;17,41;11,63;70,96;36,76;247,16;585,7;503,09;344,16;150,01
Grecja;2002;24,93;40,61;34,34;26642,77;16,96;11,15;71,9;36,94;236,28;596,69;522,83;357;155,96
Grecja;2003;26,11;41,27;35,26;28119,41;16,57;11,03;72,39;37,47;220,88;600,21;544,94;380,79;161,52
Grecja;2004;25,95;42,64;35,79;29469,53;13,88;10,44;75,67;37,39;235,8;614,27;585,89;394,11;156,17
Grecja;2005;26,63;42,71;36,09;29559,28;13,53;9,91;76,57;37,85;204,66;622,26;594,62;410,47;168,4
Grecja;2006;26,85;43,11;37,16;31136,45;12,87;9,84;77,3;38,16;187,87;629,77;601,16;429,24;176,39
Grecja;2007;28,15;43,1;37,51;32073,96;12,13;9,84;78,04;38,55;176,46;618,3;609,97;441,6;181,14
