Kraj;Rok;Udzial_kobiet_na_stanowiskach_kierowniczych_proc;Wskaznik_aktywnosci_zawodowej_kobiet_proc;Wskaznik_zatrudnienia_kobiet_proc;PKB_na_mieszkanca;Zatrudnienie_w_rolnictwie_proc;Zatrudnienie_w_przemysle_proc;Zatrudnienie_w_uslugach_proc;Mediana_wieku_sily_roboczej_u_kobiet;Kobiety_15_24;Kobiety_25_34;Kobiety_35_44;Kobiety_45_54;Kobiety_55_64
Polska;2005;32,8;55,28;50,51;26574,4;13,09;18,43;68,48;40,11;240,74;702,88;652,35;539,2;286,96
Polska;2006;35,35;55,57;50,62;26957,58;12,53;18,64;68,83;40,26;231,32;699,2;669,83;555;287,46
Polska;2007;36,22;56;50,68;27579,1;12,37;18,1;69,53;40,55;227,15;693,9;681,84;556,19;305,83
Polska;2008;36,13;55,87;50,98;27627,28;12,05;16,62;71,33;40,72;224,19;682,99;682,37;573,73;309,28
Polska;2009;35,48;55,63;50,02;26739,24;11,68;16,02;72,31;40,94;215,4;670,07;695,32;583,19;309,06
Polska;2010;35,64;55,82;49,19;27191,38;10,91;15,95;73,14;41,35;195,18;657,84;712,35;610,93;322,75
Polska;2011;37,98;54,61;47,49;26769,51;8,8;15,79;75,41;41,14;202,39;637,66;718,43;605,72;319,42
Polska;2012;37,82;54,65;46,18;25787,73;8,91;14,81;76,27;41,56;194,58;612,82;726,27;617,55;326,86
Polska;2013;37,76;54,13;45,27;25690,41;7,9;14,74;77,36;41,78;185,31;587,51;731,46;626,35;329,04
Polska;2014;38,81;53,8;46,09;26033,92;6,29;14,99;78,72;41,99;184,73;567,23;732,98;632,63;335,98
Polska;2015;40,17;53,78;46,92;26610,44;5,39;15,24;79,37;42,33;178,22;550,4;728,28;635,06;356,14
Polska;2016;41,17;53,58;47,59;27233,61;4,79;15,15;80,07;42,65;168,67;533,64;728,59;642,52;367,82
Polska;2017;41,25;54,17;49,1;28257,34;4,18;15,28;80,54;43,08;173,72;522,07;716,98;654,35;399,06
Polska;2018;42,5;53,87;49,88;28999,37;4,12;15,09;80,79;43,64;169,04;508,32;703,75;664,04;431,86
Portugalia;2000;31,05;57,87;54,18;10419,26;47,96;20,34;31,71;41,73;658,51;1390,54;1221,35;1043,87;589,59
Portugalia;2001;30,81;56,61;53,21;11117;47,44;20,86;31,7;41,71;635,13;1411,83;1165,34;1054,6;554,47
Portugalia;2002;29,5;50,6;46,76;11968,11;40,07;24,41;35,52;40,13;577,95;1427,49;1045,94;1006,83;407,34
Portugalia;2003;32,2;48,52;45,43;12336,96;39,6;24,04;36,35;39,89;479,8;1293,59;1053,45;1039,66;405,84
Portugalia;2004;33,46;48,08;45,12;13701,32;33;26,02;40,98;39,16;523,1;1260,58;1117,5;1036,5;374,84
Portugalia;2005;34,06;46,31;43,34;14429,75;33,05;24,76;42,18;39,52;434,23;1208,2;1122,78;1016,57;393,79
Portugalia;2006;33,03;47,24;44,36;15680,9;31,42;25,3;43,27;39,85;414,24;1229,62;1170,65;1043,41;420,57
Portugalia;2007;31,83;46,83;44,3;17065,47;31,01;24,66;44,34;40,2;389,45;1217,31;1187,17;1008,87;419,39
Portugalia;2008;31,45;46,15;43,99;18967,28;30,39;23,83;45,77;40,52;378,39;1199,86;1187,2;954,47;443,89
Portugalia;2009;31,78;45,87;43,19;18070,7;30,71;21,94;47,35;40,7;386,63;1182,04;1215,67;931,75;456
Portugalia;2010;32,28;46,33;43,47;17469,18;32,35;19,9;47,74;40,79;310,64;1015,09;1249,73;820,54;474,2
Portugalia;2011;33,36;46,15;43,17;17907,67;31,09;19,87;49,04;40,92;310,02;1012,39;1243,43;811,88;468,78
Portugalia;2012;35,16;46,28;43,47;18361,2;31,01;19,99;48,99;41,29;300,44;992,18;1233,76;832,66;486,87
Portugalia;2013;33,75;46,01;43,1;19077,23;30,35;20,09;49,56;41,61;280,13;967,3;1188,54;876,76;498,3
Portugalia;2014;35,13;46,15;43,33;19801,95;29,31;20,69;49,99;41,78;262,44;977,25;1156,06;914,7;511,46
Portugalia;2015;32,63;45,19;42,55;20665,64;25,61;20,03;54,36;41,62;266,78;940,67;1156,2;926,28;469,33
Portugalia;2016;35,85;44,47;42,26;21782,13;22,64;21,05;56,32;42,18;229,83;898,32;1129,56;949,44;482,36
Portugalia;2017;34,3;45,97;44,11;23467,94;22,3;21,72;55,98;42,49;260,07;889,6;1135,09;1006,37;487,04
Portugalia;2018;33,96;45,57;43,9;24538,08;22,09;21,55;56,36;42,89;248,14;853,43;1120,77;1023,22;479,64
Republika_Czeska;2000;24,07;49,64;45,94;29368,06;4,61;12,98;82,4;36,09;19,2;38,13;36,03;25,48;11,05
Republika_Czeska;2001;26,77;52,09;49,06;30201,56;3,93;12,34;83,73;36,37;19,29;40,5;38,51;29,4;11,79
Republika_Czeska;2002;26,07;52,6;50,39;30968,99;4,21;11,94;83,85;36,5;17,72;42,76;40,81;30,04;11,55
Republika_Czeska;2003;27,68;53,85;51,37;31397,48;3,88;11,12;85;36,79;18,32;44,01;43,58;32,57;11,91
Republika_Czeska;2004;28,1;53,87;50,92;32537,46;4;10,48;85,53;37,23;17,94;43,69;44,52;34,6;12,59
Republika_Czeska;2005;29,62;53,2;49,73;33628,69;3,44;10,35;86,2;37,24;19,17;45,96;45,06;35,8;12,86
Republika_Czeska;2006;28,86;54,09;51,15;34631,26;2,88;10,03;87,09;37,23;18,85;47,57;46,36;35,98;15
Republika_Czeska;2007;28,62;55,22;52,68;35630,05;2,36;9,48;88,16;37,32;19,88;52,06;46,34;38,34;17,72
Republika_Czeska;2008;28,06;55,58;53,22;36013,62;2,67;9,62;87,71;37,16;20,3;53,53;45,18;38,99;17,88
Republika_Czeska;2009;28,99;56,51;53,41;34353,16;2,96;9,47;87,57;37,36;20,72;56,42;49,26;39,84;18,98
Republika_Czeska;2010;27,71;57,63;53,93;33913,3;2,49;9,2;88,31;37,5;22,14;59,82;51,79;41,52;20,57
Republika_Czeska;2011;25,75;56,81;52,48;33192,34;2,36;8,42;89,22;37,75;20,23;63,41;54,15;43,55;20,36
Republika_Czeska;2012;26,2;56,18;49,99;31749,56;1,85;8,35;89,8;37,79;20,08;64,31;54,18;45,08;20,01
Republika_Czeska;2013;27,18;56,27;47,76;29977,91;1,68;7,31;91,01;37,46;20,42;65,08;53,76;44,17;20,42
Republika_Czeska;2014;27,85;57,82;49,13;29912,19;2,06;7,05;90,89;37,18;21,94;65,53;54,82;44,45;20,24
Republika_Czeska;2015;29,48;57,88;49,34;30673,3;2,07;6,32;91,61;37,44;20,09;62,83;53,35;43,88;22,17
Republika_Czeska;2016;25,39;56,99;49,4;32002,23;1,64;6,41;91,95;37,82;19,28;61,06;52,04;42,59;23,61
Republika_Czeska;2017;24,64;57,26;50,81;33047,55;1,08;6,9;92,02;38,31;19,87;62,13;52,07;43,26;25,03
Republika_Czeska;2018;26,76;57,24;52,57;30926,5;1,06;6,85;92,09;38,87;20,74;60,8;52,7;43,71;28,55
Rumunia;2000;26,8;52,3;42,57;15645,44;4,33;25,47;70,21;38,02;189,09;298,51;357,71;301,22;28,7
Rumunia;2001;28,46;52,85;43,05;16184,1;3,79;24,73;71,48;38,19;184,18;304,25;362,26;319,61;28,83
Rumunia;2002;33,25;52,34;42,51;16920,07;4,29;26,19;69,51;38,54;175,35;298,29;359,65;326,98;27,71
Rumunia;2003;33,22;52,59;43,5;17862,27;3,74;25,58;70,68;38,77;165,94;302,27;362,15;330,73;31,89
Rumunia;2004;28,88;52,51;42,21;18809,02;2,77;26,36;70,86;38,88;156,62;315,72;346,51;343,84;39,29
Rumunia;2005;29,18;51,27;42,43;20052,87;2,63;25,24;72,13;39,58;139,25;311,09;332,13;349,83;51,96
Rumunia;2006;30,18;50,67;43,21;21754,99;2,39;24,78;72,83;39,69;129,41;318,95;325,72;345;63,19
Rumunia;2007;28,21;50,48;44,08;24104,46;2,25;24,3;73,45;39,78;125,61;318,58;325,06;341,02;71,9
Rumunia;2008;29,53;50,89;45,33;25426,45;2,18;24,42;73,4;40,14;109,35;327,08;329,78;346,39;84,93
Rumunia;2009;31,26;50,18;43,75;24007,29;2,04;22,18;75,78;40,33;101,33;323,32;327,55;339,29;97,74
Rumunia;2010;31,05;50,64;43,24;25357,06;1,77;21,1;77,13;40,54;99,05;319,94;336,1;337,59;112,43
Rumunia;2011;30,84;50,21;43,37;26049,79;1,43;21,36;77,2;41,16;83,61;305,73;326,87;337,56;125,78
Rumunia;2012;31,06;50,73;43,36;26498,51;1,66;20,93;77,4;41,18;84,21;308,57;329,56;329,65;142,81
Rumunia;2013;31,25;51,07;43,65;26647,63;1,66;19,24;79,09;41,44;81,65;301,03;343,12;324,79;154,41
Rumunia;2014;31,67;51,12;44,15;27354,53;1,69;19,96;78,35;41,73;78,49;290,4;353,49;321,41;162,58
Rumunia;2015;31,48;52;45,3;28646,3;1,33;20,75;77,92;41,94;80,07;291,99;358,26;318,9;177,22
Rumunia;2016;33,61;52,65;46,99;29216,9;1,41;21,17;77,42;42,07;76,75;296,25;361,24;318,71;185,76
Rumunia;2017;30,37;52,83;48,39;30058,63;1,37;21,33;77,3;42,63;78,81;279,4;359,52;316,01;203,07
Rumunia;2018;31,63;52,66;48,89;31226,45;1,35;21,09;77,57;43;70,23;274,66;356,32;321,17;202,97
Slowacja;2000;31,2;51,24;47,62;22647,37;9,69;28,32;61,99;38,03;46,82;128,28;141,4;101,59;16,38
Slowacja;2001;31,21;50,94;47,87;23339,05;9,7;28,94;61,36;38,59;44,46;121,99;140,46;108,47;16,69
Slowacja;2002;31,2;51,67;48,44;24127,3;9,67;28,66;61,67;38,73;44,44;127,08;137,21;114,36;17,03
Slowacja;2003;33,31;50,28;46,75;24826,56;8,32;26,08;65,6;38,84;39,79;126,17;130,72;116,52;17,14
Slowacja;2004;32,94;52,81;49,43;25892,2;9,74;25,39;64,86;39,04;48;129,95;131,37;122,86;22,62
Slowacja;2005;30,76;52,85;49,13;26829,07;9,1;25,38;65,52;39,11;47,01;125,92;137,65;124,16;21,09
Slowacja;2006;27,88;53,26;49,43;28280,39;9,23;23,67;67,1;39,43;45,08;126,49;135,21;128,98;25,21
Slowacja;2007;30,94;53,49;50,37;30085,69;10,22;23;66,79;39,76;42,96;130,86;130,7;126,86;28,66
Slowacja;2008;29,67;53,63;51,04;31092,44;8,39;22,71;68,9;39,83;44,5;127,69;133,96;132,1;28,08
Slowacja;2009;32,24;53,53;50,42;28486,8;9;21,72;69,28;40,3;41,38;127,33;130;135,72;31,91
Slowacja;2010;34,58;53,19;49,45;28743,97;8,52;20,55;70,93;40,29;38,84;132,57;126,92;133,25;33,97
Slowacja;2011;30,85;52,35;48,07;28931,38;7,93;18,34;73,72;40,36;35,39;129,38;127,73;133,13;32,91
Slowacja;2012;33,11;52,32;47,42;28108,66;7,85;18,26;73,89;40,73;31,23;126,22;128,47;135,74;38,44
Slowacja;2013;32,72;51,79;46,14;27781,61;8,19;18,32;73,49;40,93;31,06;122,39;125;136,25;39,46
Slowacja;2014;30,04;52,35;46,82;28522,58;9,62;17,88;72,5;41,45;30,77;113,45;131,29;134,55;45,74
Slowacja;2015;31,29;52,04;46,81;29131,04;7,11;18,24;74,64;41,34;31,87;113,52;130,09;132,81;48,11
Slowacja;2016;35,03;52,07;47,6;30018,45;4,17;19,16;76,67;41,58;30,31;111,23;131,38;134,43;51,01
Slowacja;2017;32,76;53,75;49,73;31448,85;4,82;19,06;76,12;41,82;32,51;113;132,94;136,32;58,4
Slowacja;2018;32,1;53,35;50;32728,4;4,75;18,84;76,41;42,27;31,66;103,16;134,51;135,94;65,07
Slowenia;2000;29,59;40,58;32,32;30030,55;4,77;14,44;80,79;35,28;1129,02;2395,43;1924,78;1160,5;462,66
Slowenia;2001;31,6;39,46;33,52;30995,76;4,5;14,37;81,14;35,66;1038,56;2346,07;1914,88;1180,67;484,1
Slowenia;2002;29,12;41,91;35,18;31395,62;3,98;14,31;81,71;35,91;1056,18;2560,15;2077,43;1324,19;527,03
Slowenia;2003;33,24;43,37;36,56;31752,36;3,9;13,31;82,79;36,17;1050,93;2699,64;2213,89;1407,87;565,09
Slowenia;2004;33,41;44,72;37,99;32183,78;3,66;12,78;83,56;36,57;1042,86;2792,22;2326,55;1520,35;626,12
Slowenia;2005;34,19;46,1;40,57;32800,32;3,52;12,42;84,06;36,9;1102,91;2864,97;2418,67;1640,28;700,32
Slowenia;2006;33,1;47,45;42,06;33573,69;3,27;11,63;85,1;37,16;1107,54;2951,16;2550,3;1771,56;744,03
Slowenia;2007;31,85;48,35;43,18;34145,96;2,94;11,6;85,45;37,58;1085,88;3009,89;2671,58;1915,75;804,63
Slowenia;2008;34,83;49,67;43,29;33903,67;2,57;11,21;86,22;37,86;1088,51;3082,84;2805,98;2044,36;860,29
Slowenia;2009;35,54;50,78;41,57;32340,08;2,44;10,06;87,5;38,36;1015,62;3069,13;2953,03;2185,32;943,38
Slowenia;2010;34,8;51,54;41,12;32244;2,44;9,53;88,03;38,7;952,54;3030,2;3025,99;2341,08;989,78
Slowenia;2011;38,39;52,13;40,76;31867,97;2,38;8,89;88,73;39,26;911,29;2939,54;3123,25;2440,99;1092,62
Slowenia;2012;38,96;52,65;39,47;30904,79;2,41;9,04;88,55;39,83;853,58;2834,23;3214,24;2560,83;1170,56
Slowenia;2013;37,03;52,62;38,58;30561,16;2,23;8,47;89,3;40,29;797,91;2719,89;3238,36;2623,2;1226,89
Slowenia;2014;37,55;52,38;39,06;31076,86;2,24;8,43;89,33;40,78;744,65;2587,65;3243,51;2666;1295,23
Slowenia;2015;37,36;52,31;39,99;32293,76;2,1;8,67;89,23;41,37;722,74;2456,13;3237,26;2723,36;1395,86
Slowenia;2016;40,84;52,3;41,12;33244,95;2,14;8,43;89,44;41,93;681,19;2334,86;3247,99;2770,9;1501,33
Slowenia;2017;41,18;51,86;41,99;34125,81;2,27;8,85;88,89;42,31;691,83;2254;3199,36;2806,83;1542,43
Slowenia;2018;38,55;51,65;42,54;34830,54;2,22;8,69;89,09;42,79;687,44;2207,52;3140,71;2866,63;1615,6
Szwecja;2000;30,54;58,35;55,43;36820,84;1,44;11,46;87,1;41,17;202,37;487,54;514,61;531,58;319,53
Szwecja;2001;30,53;58,48;55,91;37261,17;1,22;11,16;87,62;41,22;264,09;486,2;526,35;519,28;346,95
Szwecja;2002;30,71;58,59;55,88;37955,72;1,23;10,33;88,44;41,45;256,6;483,64;532,97;513,76;372,48
Szwecja;2003;30,32;58,72;55,78;38663,54;1,1;9,9;89,01;41,63;261,92;476,44;534,97;512,75;390,52
Szwecja;2004;30,27;58,4;54,79;40177,85;1,05;9,67;89,28;41,83;254,38;469,09;541,7;504,17;406,1
Szwecja;2005;31,86;58,82;54,48;41176,35;1,05;9,31;89,64;41,66;276;472,47;545,77;497,86;410,45
Szwecja;2006;32,11;59,22;54,92;42829,89;0,99;9,27;89,74;41,6;289,54;476,55;550,25;498,33;420,69
Szwecja;2007;31,59;59,68;55,82;43972,05;0,95;9,11;89,94;41,53;303,15;476,96;561,76;504,14;422,26
Szwecja;2008;32,08;59,79;55,86;43525,11;0,86;8,26;90,88;41,5;313,05;477,36;570,43;507,82;420,2
Szwecja;2009;32,49;59,34;54,58;41327,63;0,98;7,69;91,34;41,77;307,11;471,82;569,88;514,89;422,05
Szwecja;2010;31,35;58,94;53,92;43512,86;0,96;7,63;91,41;41,79;311,89;470,27;564,57;522,93;419,17
Szwecja;2011;34,46;59,44;54,83;44503,67;0,9;7,58;91,52;41,79;320,73;482,03;561,27;537;424,78
Szwecja;2012;35,5;59,7;55,09;43896,93;1;7,74;91,26;41,86;322,31;486,53;558,65;550,66;424,23
Szwecja;2013;35,44;60,18;55,43;44000,04;0,98;7,76;91,27;41,75;328,67;499,3;560,76;559,83;422,31
Szwecja;2014;37,12;60,37;55,73;44762,49;0,91;7,2;91,89;41,75;328,65;516,99;557,19;561,89;428,51
Szwecja;2015;39,55;60,66;56,24;46249,69;1,02;6,91;92,07;41,76;325,81;531,65;562,03;571,07;429,05
Szwecja;2016;39,31;60,7;56,7;46774,3;1;6,95;92,04;41,89;313,77;547,97;561,55;581,5;437,05
Szwecja;2017;38,92;60,97;57,04;47261,3;1,02;7,11;91,87;41,97;309,56;571,07;561,92;593,33;445,46
Szwecja;2018;38,57;61,08;57,35;47717,66;1;6,99;92,01;42,01;307,63;588,7;565,83;603,1;453,81
Wegry;2000;33,53;50,11;47,97;40644,71;2,18;15,3;82,52;33,16;147,2;217,9;172,04;120,14;44,65
Wegry;2001;35,36;50,26;48,48;42114,23;1,89;14,7;83,41;33,79;140,52;222,72;181,2;128,12;48,94
Wegry;2002;35,74;51,29;49,37;43861,91;1,72;13,46;84,82;34,04;140,73;238,61;185,79;137,52;54,68
Wegry;2003;34,16;51,73;49,66;44456,42;1,81;13,05;85,14;34,27;144,47;238,1;191,29;139,8;61,87
Wegry;2004;33,66;51,93;49,94;46584,94;1,44;13,22;85,34;34,57;141,02;246,01;192,7;149,16;65,08
Wegry;2005;34,76;54,5;52,31;48179,13;1,3;11,89;86,82;34,55;157,7;262,9;198,84;159,69;75,23
Wegry;2006;36,63;55,3;52,97;49275,7;1,33;11,38;87,3;34,75;158,51;280,27;206,27;167,55;80,57
Wegry;2007;35,36;56,78;53,98;50420,36;1,54;10,56;87,89;35,08;211,19;296,56;221,41;179,78;85,5
Wegry;2008;36,5;56,63;53,41;47189,41;1,66;9,76;88,58;35,58;204,57;303,28;229,74;184,41;91,67
Wegry;2009;36,18;56,1;50,77;44339,92;1,72;9,22;89,06;36,16;184,5;304,3;234;189,84;96,74
Wegry;2010;36,48;55,53;49,2;44897,16;1,89;8,63;89,48;36,82;156,7;301,91;236,26;196,94;103,61
Wegry;2011;40,43;55,18;48,29;44855,32;1,65;8,63;89,72;37,3;140,97;300,72;243,01;198,5;107,8
Wegry;2012;38,93;54,95;47,95;44766,47;1,63;8,73;89,65;37,69;136,29;294,91;251,22;199,96;109,46
Wegry;2013;40,81;55,43;48,55;45133,27;1,69;8,73;89,58;38,2;133,61;288,51;261,41;205,85;114,74
Wegry;2014;39,82;55;49,02;48638,34;1,73;8,41;89,86;38,64;127,72;280,87;272,33;207;117,8
Wegry;2015;40,53;54,76;49,89;60304,49;1,59;8,48;89,93;39,26;125,09;273,82;275,23;216,5;123,39
Wegry;2016;39,36;55,36;51,16;61820,57;1,55;8,96;89,5;39,4;136,76;268,66;285,22;217,52;130,85
Wegry;2017;39,36;55,36;51,87;66132,14;1,55;8,72;89,73;39,93;131,19;260;298,71;226,46;138,94
Wegry;2018;38,57;55,1;52,08;70855,33;1,52;8,43;90,05;40,39;133,71;255,33;305,57;235,11;145,37
Wlochy;2000;14,32;48,87;42,33;11216,57;13,08;18,64;68,29;40,39;53,12;127,08;156,97;131,51;46,33
Wlochy;2001;18,75;49,82;43,61;12080,37;12,37;18,06;69,57;40,87;51,42;126,66;154,88;134,79;51,9
Wlochy;2002;20,18;51,05;44,54;13091,22;12,09;15,55;72,37;41,13;56,45;126;150,15;134,69;61,4
Wlochy;2003;20,84;50,55;44,48;14333,5;10,1;18,42;71,48;41,27;54,64;123,14;149,8;135,5;61,15
Wlochy;2004;33,3;50,43;44,24;15699,51;9,88;17,54;72,57;41,92;52,05;120,54;142,87;132,01;67,91
Wlochy;2005;32,5;50,44;45,41;17575,06;8;17,23;74,78;42,11;54,24;115,98;138,45;135,71;70
Wlochy;2006;33,01;52,01;48,51;19845,6;8,44;16,35;75,21;42,34;57,35;115,55;137,65;136,5;74,64
Wlochy;2007;33,7;52,92;49,97;22011,23;7,78;15,49;76,73;42,62;59,6;113,2;133,65;141,52;78,5
Wlochy;2008;33,39;54,83;50,95;21499,42;5,76;17,41;76,83;42,68;59,72;117,83;137,12;143,35;82,72
Wlochy;2009;33,78;54,37;46,69;18745,25;6,18;15,26;78,56;42,73;55,93;117,1;134,03;144,32;82,73
Wlochy;2010;32,85;53,85;45,08;18283,29;5,73;13,59;80,68;42,31;53,96;118,09;130,23;142,04;78,17
Wlochy;2011;25,08;53,02;45,71;19789,48;5,34;13,93;80,72;42,91;45,33;114,3;124,21;139,17;81,56
Wlochy;2012;26,03;54,22;46,66;20864,82;4,85;14,02;81,13;43,12;44,31;113,6;124,58;136,27;87,97
Wlochy;2013;27,01;53,92;47,92;21580,45;4,9;13,52;81,57;43,37;41,21;112,25;120,49;132,33;88,45
Wlochy;2014;26,58;53,45;48,19;22201,86;4,47;12,85;82,68;43,7;36,65;108,74;115,52;128,49;90,68
Wlochy;2015;26,57;54,26;49,57;23114,21;5,04;12,73;82,22;43,67;36,41;110,78;114,3;123,63;93,78
Wlochy;2016;27,67;55,28;50,64;23740,18;5,06;13,34;81,61;43,96;33,22;112;113,59;121,43;98,17
Wlochy;2017;27,49;55,57;51,3;24858,62;4,21;12,86;82,94;44,34;32,07;109,67;109,82;120,13;99,53
Wlochy;2018;26,99;55,41;51,64;26219,31;4,13;12,68;83,19;44,99;29,4;107,02;108,83;120,75;103,97
